iter	Passed	Remaining
0	1	122
1	2	119
2	3	114
3	4	105
4	5	104
5	6	102
6	7	101
7	8	99
8	9	99
9	10	97
10	11	96
11	13	95
12	14	94
13	15	93
14	16	93
15	17	91
16	18	90
17	19	89
18	20	88
19	21	87
20	22	86
21	24	85
22	25	84
23	26	83
24	27	82
25	28	81
26	29	79
27	30	78
28	31	77
29	32	76
30	33	75
31	34	74
32	36	73
33	37	71
34	38	70
35	39	69
36	40	68
37	41	67
38	42	66
39	43	65
40	44	64
41	45	62
42	46	61
43	47	60
44	48	59
45	49	58
46	50	57
47	51	55
48	52	54
49	53	53
50	54	52
51	55	51
52	57	50
53	58	49
54	59	48
55	60	47
56	61	46
57	62	45
58	63	44
59	64	43
60	65	42
61	66	40
62	67	39
63	68	38
64	70	37
65	71	36
66	72	35
67	73	34
68	74	33
69	75	32
70	76	31
71	78	30
72	79	29
73	80	28
74	81	27
75	82	26
76	83	24
77	84	23
78	85	22
79	87	21
80	88	20
81	89	19
82	90	18
83	91	17
84	92	16
85	93	15
86	94	14
87	96	13
88	97	12
89	98	10
90	99	9
91	100	8
92	101	7
93	102	6
94	103	5
95	105	4
96	106	3
97	107	2
98	108	1
99	109	0
